2017-08-29 12:38:00.010370 Enrg: 0.0, City: 0 
2017-08-29 12:38:30.047149 Enrg: 0.0, City: 0 
2017-08-29 12:39:00.162046 Enrg: 0.0, City: 0 
2017-08-29 12:40:24.997472 Enrg: 0.0, City: 0 
2017-08-29 12:40:53.330144 Enrg: 0.0, City: 0 
2017-08-29 12:41:15.572819 Enrg: 0.0, City: 0 
2017-08-30 14:18:42.766160 Enrg: 0.0, City: 0 
2017-08-30 14:19:12.802739 Enrg: 2.75, City: 0 
2017-08-30 14:23:52.997763 Enrg: 0.0, City: 0 
2017-08-30 14:25:00.502051 Enrg: 2.75, City: 0 
2017-08-30 14:27:20.406817 Enrg: 0.0, City: 0 
2017-08-30 14:28:24.246966 Enrg: 2.75, City: 0 
2017-08-30 15:48:01.633957 Enrg: 0.0, City: 0 
2017-08-30 15:49:07.137956 Enrg: 0.66, City: 0 
2017-08-30 15:50:14.721943 Enrg: 0.66, City: 0 
2017-08-30 15:51:21.378090 Enrg: 0.66, City: 0 
2017-08-30 15:52:28.033982 Enrg: 0.66, City: 0 
2017-08-30 15:53:34.705699 Enrg: 0.66, City: 0 
2017-08-30 15:54:27.234064 Enrg: 0.66, City: 0 
2017-08-30 15:55:33.905902 Enrg: 0.66, City: 0 
2017-08-30 15:56:28.977500 Enrg: 2.75, City: 0 
2017-08-30 15:57:35.922034 Enrg: 2.75, City: 0 
